,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Punta Arenas,-53.15,-70.92,60.8,72,0,4.7,CL,1609518295
1,Cape Town,-33.93,18.42,71.6,43,0,29.97,ZA,1609518031
2,Kapaa,22.08,-159.32,75.2,73,40,21.92,US,1609518297
3,Manggar,-2.88,108.27,79.61,83,97,4.12,ID,1609518298
4,Rikitea,-23.12,-134.97,77.43,68,14,11.1,PF,1609518299
5,George Town,5.41,100.34,80.6,74,20,4.7,MY,1609518300
6,Kahului,20.89,-156.47,73.4,73,40,12.75,US,1609518303
7,Abu Dhabi,24.47,54.37,71.6,68,0,5.82,AE,1609518048
8,Albany,42.6,-73.97,34.0,60,62,1.32,US,1609518305
9,Vorontsovka,50.61,40.35,34.47,94,100,12.33,RU,1609518307
10,Bluff,-46.6,168.33,55.0,97,99,5.01,NZ,1609518308
11,Berlevåg,70.86,29.09,28.4,86,75,21.92,NO,1609518309
12,Yellowknife,62.46,-114.35,-23.01,74,20,3.36,CA,1609518120
13,Tvøroyri,61.56,-6.81,32.0,84,96,18.34,FO,1609518311
14,Pochutla,15.74,-96.47,80.01,53,75,3.27,MX,1609518312
15,Springbok,-29.66,17.89,90.32,11,0,14.67,ZA,1609518313
16,Barrow,71.29,-156.79,-11.2,69,90,9.17,US,1609518314
17,Carnarvon,-24.87,113.63,77.0,88,0,14.99,AU,1609518051
18,Rocha,-34.48,-54.33,85.73,24,100,17.43,UY,1609518316
19,Nago,26.59,127.98,55.4,87,75,5.82,JP,1609518318
20,Melfort,52.87,-104.62,12.2,85,90,11.41,CA,1609518320
21,Ushuaia,-54.8,-68.3,57.2,71,100,7.14,AR,1609518069
22,Vallenar,-28.57,-70.76,84.96,21,0,9.22,CL,1609518323
23,Richards Bay,-28.78,32.04,70.7,84,99,16.37,ZA,1609518324
24,São Miguel do Araguaia,-13.28,-50.16,90.86,51,92,4.61,BR,1609518325
25,Strezhevoy,60.73,77.59,-27.4,74,0,4.47,RU,1609518326
26,Nouadhibou,20.93,-17.03,77.0,33,0,17.22,MR,1609518327
27,Sabha,27.04,14.43,70.79,21,38,4.99,LY,1609518329
28,Paamiut,61.99,-49.67,28.11,87,100,9.06,GL,1609518330
29,Mar del Plata,-38.0,-57.56,77.0,41,0,20.8,AR,1609518331
30,Vaini,-21.2,-175.2,75.2,88,75,5.82,TO,1609518332
31,North Bend,43.41,-124.22,52.0,81,90,6.93,US,1609518333
32,Tasiilaq,65.61,-37.64,30.2,92,100,14.99,GL,1609518334
33,Bengkulu,-3.8,102.27,77.25,85,99,5.12,ID,1609518335
34,Clyde River,70.47,-68.59,-13.0,75,1,3.36,CA,1609518336
35,Laguna,38.42,-121.42,42.01,93,90,2.84,US,1609518337
36,Vilhena,-12.74,-60.15,86.0,58,75,6.93,BR,1609518338
37,New Norfolk,-42.78,147.06,57.2,67,90,6.93,AU,1609518340
38,Ilulissat,69.22,-51.1,24.8,58,69,7.2,GL,1609518341
39,Tuatapere,-46.13,167.68,55.0,97,100,5.01,NZ,1609518342
40,Kavieng,-2.57,150.8,82.49,77,21,11.74,PG,1609518343
41,Hilo,19.73,-155.09,69.8,83,75,3.36,US,1609518185
42,Hofn,64.25,-15.21,30.96,86,21,5.1,IS,1609518346
43,Ancud,-41.87,-73.82,64.4,59,0,6.93,CL,1609518347
44,Boralday,43.36,76.86,14.0,92,90,6.71,KZ,1609518349
45,Hermanus,-34.42,19.23,70.0,51,0,7.0,ZA,1609518350
46,Emerald,-23.53,148.17,77.0,73,66,9.17,AU,1609518351
47,Saint-Philippe,-21.36,55.77,79.0,78,0,6.93,RE,1609518353
48,Esperance,-33.87,121.9,62.6,77,90,19.46,AU,1609518354
49,Vila Velha,-20.33,-40.29,88.0,55,0,16.11,BR,1609518356
50,Dukat,62.55,155.55,-36.44,81,100,5.64,RU,1609518357
51,Atuona,-9.8,-139.03,77.85,75,5,17.4,PF,1609518358
52,Saint George,37.1,-113.58,32.0,86,1,6.93,US,1609518359
53,Ukiah,39.15,-123.21,39.99,93,20,1.57,US,1609518360
54,Lebu,-37.62,-73.65,62.13,69,0,17.85,CL,1609518361
55,Marsh Harbour,26.54,-77.06,76.55,76,2,20.38,BS,1609518363
56,Minas,-34.38,-55.24,77.0,57,75,17.22,UY,1609518364
57,Youkounkoun,12.53,-13.13,103.15,14,0,4.29,GN,1609518365
58,Castro,-24.79,-50.01,78.13,66,75,1.19,BR,1609518366
59,Sampit,-2.53,112.95,74.5,96,95,0.98,ID,1609518370
60,Paphos,34.77,32.42,59.0,67,20,4.7,CY,1609518371
61,Arraial do Cabo,-22.97,-42.03,84.2,69,20,9.17,BR,1609518349
62,Briançon,44.9,6.65,35.01,75,100,4.41,FR,1609518374
63,Leona Vicario,20.97,-87.19,84.2,74,75,14.99,MX,1609518376
64,Kaitangata,-46.28,169.85,55.0,94,100,11.99,NZ,1609518377
65,Orotukan,62.27,151.7,-31.54,81,100,3.24,RU,1609518378
66,Severo-Kuril'sk,50.68,156.12,29.64,93,100,9.6,RU,1609518380
67,Airai,-8.93,125.41,62.64,100,99,0.65,TL,1609518381
68,Faanui,-16.48,-151.75,80.11,78,99,20.07,PF,1609518382
69,Coquimbo,-29.95,-71.34,68.0,68,40,12.75,CL,1609518383
70,Baeza,37.99,-3.47,46.0,66,92,12.95,ES,1609518385
71,Tuktoyaktuk,69.45,-133.04,-23.8,74,40,6.93,CA,1609518387
72,Naze,28.37,129.48,59.0,67,90,9.17,JP,1609518388
73,Hasaki,35.73,140.83,26.6,79,20,1.12,JP,1609518389
74,Baruun-Urt,46.68,113.28,-8.73,84,100,5.3,MN,1609518390
75,Jamestown,42.1,-79.24,30.99,79,1,9.17,US,1609518391
76,Provideniya,64.38,-173.3,22.84,97,100,23.49,RU,1609518392
77,Iqaluit,63.75,-68.51,-13.0,69,20,4.7,CA,1609518393
78,Norman Wells,65.28,-126.83,-11.2,83,75,4.7,CA,1609518394
79,Lüderitz,-26.65,15.16,78.8,41,1,25.28,NA,1609518395
80,Butaritari,3.07,172.79,80.37,77,53,19.19,KI,1609518396
81,Sukhumi,43.0,41.02,53.82,49,38,3.31,GE,1609518397
82,Port Hedland,-20.32,118.57,86.0,79,6,10.29,AU,1609518299
83,São Raimundo das Mangabeiras,-7.02,-45.48,93.63,44,88,2.71,BR,1609518400
84,Mataura,-46.19,168.86,55.0,97,100,5.01,NZ,1609518401
85,Saldanha,-33.01,17.94,77.0,38,0,23.04,ZA,1609518403
86,Hong Kong,22.29,114.16,55.99,33,70,9.08,HK,1609518183
87,Busselton,-33.65,115.33,64.0,74,100,4.0,AU,1609518405
88,Jacareacanga,-6.22,-57.75,94.78,44,36,2.89,BR,1609518406
89,Fortuna,40.6,-124.16,46.99,100,1,11.41,US,1609518407
90,Broome,42.25,-75.83,33.01,74,1,8.05,US,1609518408
91,Avarua,-21.21,-159.78,80.6,78,75,16.11,CK,1609518409
92,Vila Franca do Campo,37.72,-25.43,57.2,82,40,14.99,PT,1609518411
93,Souillac,-20.52,57.52,77.0,78,40,12.75,MU,1609518412
94,Port Alfred,-33.59,26.89,69.01,67,62,4.0,ZA,1609518252
95,Yumen,40.28,97.2,15.3,75,100,6.98,CN,1609518414
96,Auki,-8.77,160.7,78.17,82,1,4.65,SB,1609518415
97,Goderich,43.75,-81.72,28.4,74,100,9.17,CA,1609518416
