City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Hong Kong,22.29,114.16,64.99,75,14,7.29,HK,1609853050
Vakhrushev,48.98,142.97,-3.82,85,0,5.5,RU,1609853181
Khanbari,27.37,87.2,61.36,55,100,1.01,NP,1609853182
Chardara,41.25,67.97,29.53,77,28,5.64,KZ,1609853183
Port Alfred,-33.59,26.89,78.01,83,25,3.0,ZA,1609853184
Port Elizabeth,-33.92,25.57,78.8,65,75,10.29,ZA,1609853185
Hilo,19.73,-155.09,69.8,83,90,4.7,US,1609852970
Fortuna,40.6,-124.16,44.01,100,1,13.87,US,1609853187
Pangody,65.85,74.49,-14.39,89,69,11.23,RU,1609853189
Cap-aux-Meules,47.38,-61.86,32.0,88,100,16.11,CA,1609853190
Athabasca,54.72,-113.29,26.6,79,100,3.36,CA,1609853191
Ushuaia,-54.8,-68.3,53.6,54,0,4.7,AR,1609853191
Mareeba,-17.0,145.43,79.0,100,90,5.82,AU,1609853193
Dunedin,-45.87,170.5,54.0,90,0,1.99,NZ,1609852937
Kamiiso,41.82,140.65,18.18,93,52,4.94,JP,1609853195
Portland,45.52,-122.68,45.0,85,100,3.0,US,1609852903
Saint Paul Harbor,57.79,-152.41,37.4,93,90,19.46,US,1609853197
Rikitea,-23.12,-134.97,75.99,74,0,13.58,PF,1609853198
Chui,-33.7,-53.46,78.13,66,30,11.45,UY,1609853202
Hobart,-42.88,147.33,61.0,82,75,3.36,AU,1609853175
Saint-Philippe,-21.36,55.77,84.2,62,75,21.92,RE,1609853204
Tuktoyaktuk,69.45,-133.04,-13.77,88,100,9.57,CA,1609853205
Mar del Plata,-38.0,-57.56,66.99,100,90,20.8,AR,1609853206
Onokhino,56.92,65.54,-7.6,69,40,11.18,RU,1609853208
Antofagasta,-23.65,-70.4,66.2,82,40,6.93,CL,1609853210
Cape Town,-33.93,18.42,75.2,57,20,24.16,ZA,1609853032
Makushino,55.21,67.24,-5.94,89,100,10.22,RU,1609853213
Kutum,14.2,24.67,86.65,12,0,13.58,SD,1609853214
Båtsfjord,70.63,29.72,35.6,86,40,14.99,NO,1609853215
Mataura,-46.19,168.86,51.01,94,19,1.99,NZ,1609853216
Progreso,21.28,-89.67,71.6,83,75,3.36,MX,1609853217
Kapaa,22.08,-159.32,73.4,78,40,11.41,US,1609853218
Hermanus,-34.42,19.23,72.0,72,96,1.99,ZA,1609853219
Chicama,-7.84,-79.15,66.2,88,40,6.93,PE,1609853220
Chokurdakh,70.63,147.92,-16.35,89,100,11.07,RU,1609853221
Vaini,-21.2,-175.2,77.0,94,40,4.7,TO,1609853223
Butaritari,3.07,172.79,81.27,76,95,19.82,KI,1609853224
Berekum,7.45,-2.58,95.92,33,34,5.19,GH,1609853225
Tiksi,71.69,128.87,-21.39,86,99,13.0,RU,1609853227
Songjianghe,42.19,127.48,-4.5,83,0,1.21,CN,1609853228
Katsuura,35.13,140.3,46.0,81,75,8.05,JP,1609853229
Castro,-24.79,-50.01,75.24,67,99,6.58,BR,1609853230
Jamestown,42.1,-79.24,32.0,92,90,0.87,US,1609853222
Atuona,-9.8,-139.03,77.36,77,1,17.11,PF,1609853232
Tsumeb,-19.23,17.72,78.22,60,100,6.08,NA,1609853234
Tooele,40.53,-112.3,39.99,91,90,6.93,US,1609853235
Marawi,8.0,124.29,78.01,90,77,7.0,PH,1609853236
Ribeira Grande,38.52,-28.7,60.8,87,75,34.45,PT,1609853237
Eureka,40.8,-124.16,43.0,87,3,1.99,US,1609853005
Muros,42.78,-9.06,46.99,93,1,3.0,ES,1609853239
Puerto Ayora,-0.74,-90.35,73.99,90,65,1.99,EC,1609853240
Thoen,17.61,99.22,71.78,57,37,0.51,TH,1609853241
Kargil,34.57,76.1,18.16,92,100,2.24,IN,1609853242
Saskylakh,71.92,114.08,-12.08,87,87,13.91,RU,1609853243
Carnarvon,-24.87,113.63,82.4,74,75,4.7,AU,1609853244
Sur,22.57,59.53,70.61,36,0,11.92,OM,1609853246
Dunmore East,52.15,-6.99,39.0,93,40,10.29,IE,1609853247
Severo-Kuril'sk,50.68,156.12,18.07,90,76,21.34,RU,1609853248
Lázaro Cárdenas,17.96,-102.2,70.3,81,0,3.89,MX,1609853249
Tuatapere,-46.13,167.68,51.01,94,3,1.99,NZ,1609853250
Tiarei,-17.53,-149.33,75.2,83,75,9.17,PF,1609853251
Sioux Lookout,50.1,-91.92,24.8,85,90,2.24,CA,1609853252
Joniškis,56.24,23.62,32.0,97,90,13.87,LT,1609853253
Atambua,-9.11,124.89,75.97,87,88,3.27,ID,1609853254
São Filipe,14.9,-24.5,78.03,68,100,6.06,CV,1609853257
Avarua,-21.21,-159.78,78.8,78,0,14.99,CK,1609853259
Lompoc,34.64,-120.46,48.2,100,90,3.36,US,1609853260
Busselton,-33.65,115.33,73.0,42,0,4.0,AU,1609853261
Vero Beach,27.64,-80.4,53.01,93,1,9.28,US,1609853136
Aitape,-3.14,142.35,80.08,83,100,5.57,PG,1609853263
Bluff,-46.6,168.33,51.01,94,5,1.99,NZ,1609853264
Kaitangata,-46.28,169.85,54.0,90,24,1.99,NZ,1609853265
Pevek,69.7,170.31,-15.48,89,100,11.07,RU,1609853267
Mărgău,46.75,22.97,45.0,87,75,6.93,RO,1609853268
Mahébourg,-20.41,57.7,80.6,78,40,13.87,MU,1609853269
Iranshahr,27.2,60.68,62.6,9,0,9.17,IR,1609853270
Dikson,73.51,80.55,8.51,95,100,29.01,RU,1609853271
Shahreza,32.03,51.88,38.12,63,0,4.72,IR,1609853272
Yermekeyevo,54.08,53.67,15.93,96,100,8.34,RU,1609853273
Lebu,-37.62,-73.65,58.33,63,0,17.36,CL,1609853274
Thompson,55.74,-97.86,-5.8,76,40,3.36,CA,1609853275
Rodolfo Sánchez Taboada,31.72,-116.57,53.02,72,0,7.27,MX,1609853278
Lüderitz,-26.65,15.16,73.4,73,18,3.36,NA,1609853279
Bredasdorp,-34.53,20.04,75.2,53,96,9.17,ZA,1609853280
Puerto del Rosario,28.5,-13.86,77.0,53,20,11.41,ES,1609853282
Lorengau,-2.02,147.27,83.59,75,99,9.04,PG,1609853283
Port Hardy,50.7,-127.42,44.6,81,90,23.04,CA,1609853284
Norman Wells,65.28,-126.83,-5.8,70,75,8.05,CA,1609853285
Westfield,42.13,-72.75,32.0,100,90,3.62,US,1609853286
Tasiilaq,65.61,-37.64,19.4,57,20,9.17,GL,1609853287
Albany,42.6,-73.97,33.01,86,61,2.75,US,1609853163
Ordu,40.91,37.68,57.2,62,0,9.17,TR,1609853290
Mbandaka,0.05,18.26,88.72,54,0,2.21,CD,1609853291
Barrow,71.29,-156.79,-18.4,68,90,6.93,US,1609853292
Arraial do Cabo,-22.97,-42.03,84.2,78,40,6.93,BR,1609853293
Río Gallegos,-51.62,-69.22,55.4,43,0,11.41,AR,1609853096
Chapais,49.78,-74.85,15.8,100,90,6.93,CA,1609853296
São José da Coroa Grande,-8.9,-35.15,82.6,64,39,10.09,BR,1609853297
Cabo San Lucas,22.89,-109.91,54.0,38,0,1.99,MX,1609853054
Shimoda,34.67,138.95,41.0,71,100,8.66,JP,1609853299
Punta Arenas,-53.15,-70.92,55.4,54,75,21.92,CL,1609853301
East London,-33.02,27.91,78.8,78,40,19.46,ZA,1609853302
Dingcheng,32.13,115.04,33.76,91,100,6.29,CN,1609853303
Arrondissement de Beaune,47.08,4.75,35.6,74,90,6.93,FR,1609853162
Ilulissat,69.22,-51.1,14.0,56,75,11.41,GL,1609853305
Esil,51.96,66.4,-7.55,86,6,6.44,KZ,1609853306
Kloulklubed,7.04,134.26,77.0,94,90,5.82,PW,1609853307
Lokosovo,61.13,74.82,-18.65,86,0,5.48,RU,1609853309
Pitsunda,43.16,40.34,60.8,25,92,11.18,GE,1609853311
Kavieng,-2.57,150.8,83.37,79,100,10.83,PG,1609853313
