,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Saint-Philippe,-21.36,55.77,79.0,65,75,21.92,RE,1609257532
1,Hamilton,39.18,-84.53,33.01,63,75,6.93,US,1609257319
2,Skagen,57.72,10.58,41.0,91,100,11.99,DK,1609257534
3,Nchelenge,-9.35,28.73,74.07,78,99,0.36,ZM,1609257535
4,Ribeira Grande,38.52,-28.7,59.0,58,40,16.11,PT,1609257536
5,Puerto Ayora,-0.74,-90.35,78.8,69,75,16.11,EC,1609257537
6,Udachny,66.42,112.4,-18.4,75,90,8.95,RU,1609257540
7,Macao,22.2,113.55,68.0,77,0,10.29,MO,1609257541
8,Castro,-24.79,-50.01,75.49,82,5,7.81,BR,1609257488
9,Bredasdorp,-34.53,20.04,77.0,38,0,21.92,ZA,1609257543
10,Nanortalik,60.14,-45.24,23.5,90,88,8.75,GL,1609257545
11,Mezőkeresztes,47.83,20.7,45.63,72,23,8.08,HU,1609257546
12,Yumen,40.28,97.2,6.49,85,2,16.26,CN,1609257547
13,Bafoulabé,13.81,-10.83,101.25,12,0,7.81,ML,1609257548
14,La Santisima Trinidad,-14.83,-64.9,81.82,76,88,5.95,BO,1609257550
15,Avarua,-21.21,-159.78,73.4,100,2,3.36,CK,1609257551
16,Faya,18.39,42.45,64.4,59,0,11.41,SA,1609257552
17,Ondjiva,-17.07,15.73,78.35,58,91,5.41,AO,1609257553
18,Osório,-29.89,-50.27,85.53,54,99,6.51,BR,1609257554
19,Busselton,-33.65,115.33,70.0,43,27,1.99,AU,1609257555
20,Rikitea,-23.12,-134.97,77.47,81,100,13.27,PF,1609257556
21,Ca Mau,9.18,105.15,74.53,93,92,3.94,VN,1609257557
22,Hermanus,-34.42,19.23,72.0,60,0,8.99,ZA,1609257558
23,Ushuaia,-54.8,-68.3,51.8,66,75,10.29,AR,1609257559
24,Punta Arenas,-53.15,-70.92,55.4,49,0,18.34,CL,1609257560
25,Beringovskiy,63.05,179.32,26.64,98,100,20.92,RU,1609257562
26,Ati,13.22,18.34,88.59,15,0,6.98,TD,1609257563
27,Hithadhoo,-0.6,73.08,82.87,75,14,8.99,MV,1609257565
28,Port Keats,-14.25,129.55,80.51,83,100,4.97,AU,1609257566
29,Kon Tum,14.35,108.0,62.98,91,0,3.18,VN,1609257567
30,Yellowknife,62.46,-114.35,-4.0,76,90,3.36,CA,1609257348
31,San-Pédro,4.75,-6.64,82.42,76,54,10.49,CI,1609257569
32,Albany,42.6,-73.97,32.0,37,70,3.0,US,1609257328
33,Nikolskoye,59.7,30.79,27.0,92,90,17.9,RU,1609257571
34,Banda Aceh,5.56,95.32,78.87,82,99,9.26,ID,1609257572
35,Faanui,-16.48,-151.75,80.4,74,73,11.23,PF,1609257574
36,Umluj,25.02,37.27,76.57,61,0,6.42,SA,1609257575
37,Pisco,-13.7,-76.22,75.2,73,0,6.93,PE,1609257576
38,Qeshm,26.96,56.27,68.0,29,0,6.93,IR,1609257434
39,Tuktoyaktuk,69.45,-133.04,-2.2,84,75,6.93,CA,1609257578
40,Hobart,-42.88,147.33,55.4,87,0,8.05,AU,1609257385
41,Port Alfred,-33.59,26.89,75.0,83,59,5.99,ZA,1609257580
42,Ilulissat,69.22,-51.1,17.6,67,40,26.4,GL,1609257581
43,Aripuanã,-9.17,-60.63,80.94,68,99,2.66,BR,1609257479
44,Qaanaaq,77.48,-69.36,18.66,89,99,8.03,GL,1609257583
45,Ossora,59.24,163.07,7.27,94,100,8.68,RU,1609257585
46,Coro,11.4,-69.67,83.05,56,83,8.48,VE,1609257586
47,Dikson,73.51,80.55,-23.33,82,0,6.33,RU,1609257587
48,Cape Town,-33.93,18.42,71.6,49,20,18.34,ZA,1609257588
49,Peniche,39.36,-9.38,55.99,73,18,15.01,PT,1609257589
50,Oranjestad,12.52,-70.03,86.0,55,20,13.87,AW,1609257505
51,Haines Junction,60.75,-137.51,20.64,94,100,0.98,CA,1609257591
52,Maryville,35.76,-83.97,41.0,86,20,9.17,US,1609257592
53,Salalah,17.02,54.09,75.2,53,0,3.36,OM,1609257593
54,New Norfolk,-42.78,147.06,51.01,66,0,2.33,AU,1609257594
55,Amnat Charoen,15.92,104.75,73.51,66,75,13.09,TH,1609257596
56,Kargil,34.57,76.1,-0.74,80,46,2.75,IN,1609257598
57,Labuhan,-6.88,112.21,75.78,92,100,11.83,ID,1609257599
58,Chokwé,-24.53,32.98,94.75,34,79,9.31,MZ,1609257600
59,Esmeraldas,-19.76,-44.31,80.6,50,40,8.05,BR,1609257603
60,Tupik,54.43,119.93,-17.03,82,100,3.53,RU,1609257605
61,Yurimaguas,-5.9,-76.08,84.2,66,40,3.36,PE,1609257607
62,Port Hedland,-20.32,118.57,86.0,79,75,13.87,AU,1609257608
63,Soma,39.19,27.61,60.8,62,40,10.29,TR,1609257388
64,Cayenne,4.93,-52.33,84.2,74,75,13.87,GF,1609257606
65,Mataura,-46.19,168.86,55.99,93,100,1.01,NZ,1609257612
66,Cobija,-11.03,-68.77,79.66,90,75,4.05,BO,1609257614
67,Chkalovskoye,44.84,133.04,-8.27,86,80,8.86,RU,1609257615
68,Lincoln,40.8,-96.67,25.0,79,90,14.99,US,1609257603
69,Mahajanga,-15.72,46.32,80.6,88,40,4.7,MG,1609257618
70,Carnarvon,-24.87,113.63,77.0,94,40,12.75,AU,1609257619
71,Marshall,34.38,-86.33,48.0,75,1,6.69,US,1609257620
72,Touros,-5.2,-35.46,87.8,48,20,18.34,BR,1609257621
73,Nome,64.5,-165.41,28.4,92,75,13.87,US,1609257327
74,Vaini,-21.2,-175.2,73.4,100,75,5.82,TO,1609257623
75,Port-Gentil,-0.72,8.78,82.4,83,75,10.29,GA,1609257624
76,Atuona,-9.8,-139.03,78.35,74,13,15.23,PF,1609257626
77,Adrar,20.5,-10.07,84.38,23,85,5.5,MR,1609257627
78,Berlevåg,70.86,29.09,32.0,93,75,9.17,NO,1609257628
79,Jinka,5.65,36.65,73.56,38,0,2.66,ET,1609257630
80,Petatlán,17.52,-101.27,75.2,83,40,1.01,MX,1609257633
81,Sobolevo,54.43,31.9,32.2,97,100,18.86,RU,1609257634
82,Moose Factory,51.26,-80.61,5.0,71,1,17.22,CA,1609257635
83,Butaritari,3.07,172.79,81.66,79,42,19.48,KI,1609257636
84,Upernavik,72.79,-56.15,19.45,94,97,10.27,GL,1609257637
85,Alice Springs,-23.7,133.88,71.6,40,33,4.7,AU,1609257639
86,Hong Kong,22.29,114.16,68.0,88,2,4.0,HK,1609257407
87,Virklund,56.13,9.56,37.4,100,90,3.36,DK,1609257641
88,Ponta do Sol,32.67,-17.1,60.8,77,75,8.05,PT,1609257642
89,Bluff,-46.6,168.33,55.99,93,100,1.01,NZ,1609257643
90,Hūn,29.13,15.95,64.04,27,0,7.16,LY,1609257645
91,Thompson,55.74,-97.86,15.8,85,90,6.93,CA,1609257472
92,Gilgit,35.92,74.31,27.05,62,0,2.8,PK,1609257647
93,Atikokan,48.76,-91.62,5.23,90,53,8.05,CA,1609257648
94,Buraidah,26.33,43.98,66.2,68,75,9.17,SA,1609257650
95,Susanville,40.42,-120.65,19.4,85,1,3.15,US,1609257516
96,Arraial do Cabo,-22.97,-42.03,86.0,58,0,13.87,BR,1609257609
97,Port Elizabeth,-33.92,25.57,71.6,83,75,18.34,ZA,1609257653
98,Te Anau,-45.42,167.72,49.03,85,100,0.81,NZ,1609257654
99,Vestmanna,62.16,-7.17,32.0,92,98,25.28,FO,1609257655
100,Vermillion,42.78,-96.93,23.0,92,90,11.41,US,1609257656
101,Bida,9.08,6.02,98.76,15,73,1.28,NG,1609257658
102,Coyhaique,-45.58,-72.07,57.2,93,90,11.41,CL,1609257659
103,Khatanga,71.97,102.5,-32.19,84,78,10.13,RU,1609257660
104,Jamestown,42.1,-79.24,26.01,73,90,17.22,US,1609257661
105,San Patricio,28.02,-97.52,73.99,78,20,13.87,US,1609257662
106,Cherskiy,68.75,161.3,-35.73,82,86,3.74,RU,1609257663
107,Leningradskiy,69.38,178.42,-7.4,89,100,0.72,RU,1609257664
108,Bambous Virieux,-20.34,57.76,77.0,88,75,10.29,MU,1609257666
109,Port Hardy,50.7,-127.42,42.8,93,90,8.05,CA,1609257667
110,Coquimbo,-29.95,-71.34,68.0,64,20,10.29,CL,1609257589
111,Severo-Yeniseyskiy,60.37,93.04,-26.21,84,56,3.6,RU,1609257669
112,Pacific Grove,36.62,-121.92,39.2,93,1,4.7,US,1609257614
113,Maracaju,-21.61,-55.17,90.36,50,29,9.33,BR,1609257672
114,Manadhoo,5.77,73.38,81.86,77,73,10.92,MV,1609257673
115,Nabire,-3.37,135.48,75.43,87,100,7.9,ID,1609257674
116,Nelson Bay,-32.72,152.15,66.99,93,90,4.7,AU,1609257675
117,Balaipungut,1.05,101.28,77.0,88,40,1.77,ID,1609257677
118,Mar del Plata,-38.0,-57.56,75.2,78,40,10.29,AR,1609257645
119,Saskylakh,71.92,114.08,-21.5,86,99,15.86,RU,1609257679
120,Lavrentiya,65.58,-171.0,18.43,96,99,13.47,RU,1609257680
121,Pūranpur,28.52,80.15,53.62,42,0,7.0,IN,1609257681
122,Marrakesh,31.63,-8.01,62.6,48,20,3.36,MA,1609257549
123,Saldanha,-33.01,17.94,71.6,46,0,11.41,ZA,1609257684
124,Manokwari,-0.87,134.08,80.17,79,100,5.84,ID,1609257685
125,Shaoguan,24.8,113.58,48.92,59,94,9.04,CN,1609257687
126,Barrow,71.29,-156.79,-2.2,77,90,16.11,US,1609257688
127,George Town,5.41,100.34,82.99,83,20,5.82,MY,1609257487
128,Batken,39.83,71.0,12.4,76,90,7.02,KG,1609257424
129,Mount Isa,-20.73,139.5,80.6,65,40,6.93,AU,1609257654
130,Atar,20.52,-13.05,87.8,20,10,9.17,MR,1609257693
131,Kulhudhuffushi,6.62,73.07,81.86,75,60,10.98,MV,1609257694
132,Kavieng,-2.57,150.8,83.93,64,94,5.46,PG,1609257696
133,Itarema,-2.92,-39.92,88.83,53,46,18.72,BR,1609257697
134,Balsthal,47.32,7.69,39.2,93,75,12.75,CH,1609257698
135,Norman Wells,65.28,-126.83,-13.0,75,40,1.79,CA,1609257700
136,Bethel,41.37,-73.41,35.6,31,1,13.87,US,1609257658
137,Ketchikan,55.34,-131.65,39.2,64,90,23.04,US,1609257703
138,Riyadh,24.69,46.72,57.2,76,0,3.36,SA,1609257445
139,Torbay,47.67,-52.73,36.0,87,75,14.99,CA,1609257707
140,Lumphat,13.49,106.98,73.76,73,5,5.44,KH,1609257708
